Eth_group,Region,Percent,Rank,,
All pupils,England,3.3523,6,,
White,England,3.8431,2,,
Mixed,England,3.9013,1,,
Asian,England,1.0189,4,,
Black,England,2.6197,3,,
"Any other ethnic groups, and unclassified",England,0.7458,5,,
All pupils,London,2.9155,6,,
White,London,3.6448,2,,
Mixed,London,4.1630,1,,
Asian,London,1.1526,4,,
Black,London,3.2181,3,,
"Any other ethnic groups, and unclassified",London,0.8509,5,,
